xc_velocity,yc_velocity,width_mid_x_velocity,width_mid_y_velocity,height_mid_x_velocity,height_mid_y_velocity,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
0.0,0.0,-26.58088393728536,0.0,-26.58088393728536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-27.405153938633656,0.0,0.0,0.0,-27.405153938633656,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.173629107494616,0.0,0.0,27.173629107494616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-26.737962732760877,26.737962732760877,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,26.74375928535452,0.0,26.74375928535452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-28.11252236975276,0.0,28.11252236975276,-28.11252236975276,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.5756409295608,0.0,-28.5756409295608,28.5756409295608,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-27.10269068727546,0.0,-27.10269068727546,-27.10269068727546,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,27.277364809937282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-26.860564453637885,0.0,0.0,0.0,-53.72112890727577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.029751450647026,0.0,26.029751450647026,0.0,52.05950290129405,26.029751450647026,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-27.632827580754665,0.0,-27.632827580754665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,27.16201479102183,0.0,27.16201479102183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
