timestamp,frame_number,error_cmd_x1,error_cmd_y1,error_cmd_x2,error_cmd_y2,error_cmd_x3,error_cmd_y3
8.413,45,-7,8,-7,-31,25,8
8.536203145980835,46,-7,10,-7,-29,24,10
8.536,46,-7,10,-7,-29,24,10
8.658149480819702,47,-7,12,-6,-25,24,12
8.658,47,-7,12,-6,-25,24,12
8.782000541687012,48,-7,13,-8,-22,24,12
8.782,48,-7,13,-8,-22,24,12
8.905791997909546,49,-6,14,-7,-21,24,12
8.906,49,-6,14,-7,-21,24,12
9.0293710231781,50,-7,14,-8,-21,25,12
9.029,50,-7,14,-8,-21,25,12
9.15325403213501,51,-7,14,-9,-20,24,13
9.153,51,-7,14,-9,-20,24,13
9.276141881942749,52,-8,16,-9,-18,22,14
9.276,52,-8,16,-9,-18,22,14
9.399483442306519,53,-8,23,-8,-12,18,23
9.399,53,-8,23,-8,-12,18,23
9.522292137145996,54,-10,21,-11,-9,16,20
9.522,54,-10,21,-11,-9,16,20
9.646315097808838,55,-11,19,-13,-10,14,17
9.646,55,-11,19,-13,-10,14,17
9.769110441207886,56,-11,19,-13,-10,13,17
9.769,56,-11,19,-13,-10,13,17
9.887443780899048,57,-13,20,-14,-7,10,19
9.887,57,-13,20,-14,-7,10,19
10.010892391204834,58,-14,20,-15,-5,8,19
10.011,58,-14,20,-15,-5,8,19
10.13468861579895,59,-14,21,-15,-3,8,20
10.135,59,-14,21,-15,-3,8,20
10.258229732513428,60,-14,21,-16,-2,6,20
10.258,60,-14,21,-16,-2,6,20
10.380169153213501,61,-15,21,-17,-2,4,19
10.380,61,-15,21,-17,-2,4,19
10.503395557403564,62,-16,21,-18,-1,3,20
10.503,62,-16,21,-18,-1,3,20
10.628043174743652,63,-17,21,-18,-1,1,20
10.628,63,-17,21,-18,-1,1,20
10.750652074813843,64,-17,21,-18,-2,1,20
10.751,64,-17,21,-18,-2,1,20
10.87361478805542,65,-18,22,-18,-1,0,22
10.874,65,-18,22,-18,-1,0,22
10.997019290924072,66,-13,26,-17,-3,3,24
10.997,66,-13,26,-17,-3,3,24
11.120062828063965,67,-14,27,-17,-2,3,24
11.120,67,-14,27,-17,-2,3,24
11.244259119033813,68,-19,22,-18,0,-3,22
11.244,68,-19,22,-18,0,-3,22
11.368030548095703,69,-14,26,-17,0,2,24
11.368,69,-14,26,-17,0,2,24
11.490887880325317,70,-20,21,-19,2,-5,21
11.491,70,-20,21,-19,2,-5,21
11.612447023391724,71,-20,22,-19,3,-6,22
11.612,71,-20,22,-19,3,-6,22
11.73122239112854,72,-19,21,-19,5,-5,21
11.731,72,-19,21,-19,5,-5,21
11.847912549972534,73,-18,20,-19,4,-5,20
11.848,73,-18,20,-19,4,-5,20
11.96577000617981,74,-18,21,-18,4,-4,20
11.966,74,-18,21,-18,4,-4,20
12.084291219711304,75,-17,21,-18,3,-4,20
12.084,75,-17,21,-18,3,-4,20
12.205982446670532,76,-18,22,-18,3,-5,21
12.206,76,-18,22,-18,3,-5,21
12.329832077026367,77,-18,21,-18,4,-5,21
12.330,77,-18,21,-18,4,-5,21
12.452139377593994,78,-17,21,-17,5,-4,20
12.452,78,-17,21,-17,5,-4,20
12.57478642463684,79,-17,20,-17,5,-4,20
12.575,79,-17,20,-17,5,-4,20
12.697340726852417,80,-17,20,-17,5,-4,20
12.697,80,-17,20,-17,5,-4,20
12.816640853881836,81,-17,20,-17,3,-3,19
12.817,81,-17,20,-17,3,-3,19
12.931718826293945,82,-16,20,-17,3,-3,19
12.932,82,-16,20,-17,3,-3,19
13.050688743591309,83,-16,20,-16,3,-3,20
13.051,83,-16,20,-16,3,-3,20
13.17427110671997,84,-16,20,-16,3,-3,20
13.174,84,-16,20,-16,3,-3,20
13.29819107055664,85,-16,20,-17,3,-4,20
13.298,85,-16,20,-17,3,-4,20
13.421154022216797,86,-16,19,-17,3,-3,18
13.421,86,-16,19,-17,3,-3,18
13.544056177139282,87,-16,19,-17,4,-3,18
13.544,87,-16,19,-17,4,-3,18
13.665473222732544,88,-15,18,-17,3,-3,17
13.665,88,-15,18,-17,3,-3,17
13.78871488571167,89,-15,18,-16,4,-3,17
13.789,89,-15,18,-16,4,-3,17
13.91225004196167,90,-15,19,-16,3,-3,17
13.912,90,-15,19,-16,3,-3,17
14.035646200180054,91,-15,19,-16,3,-3,18
14.036,91,-15,19,-16,3,-3,18
14.159975528717041,92,-15,19,-16,1,-3,17
14.160,92,-15,19,-16,1,-3,17
14.282289981842041,93,-15,19,-17,2,-3,18
14.282,93,-15,19,-17,2,-3,18
14.405435800552368,94,-15,19,-16,2,-4,18
14.405,94,-15,19,-16,2,-4,18
14.528092384338379,95,-15,18,-16,2,-4,17
14.528,95,-15,18,-16,2,-4,17
14.650292873382568,96,-15,19,-17,2,-5,18
14.650,96,-15,19,-17,2,-5,18
14.774210453033447,97,-15,18,-16,2,-5,17
14.774,97,-15,18,-16,2,-5,17
14.896821737289429,98,-15,18,-16,2,-5,17
14.897,98,-15,18,-16,2,-5,17
15.018809795379639,99,-15,19,-16,2,-5,18
15.019,99,-15,19,-16,2,-5,18
15.141899585723877,100,-15,18,-17,2,-6,17
15.142,100,-15,18,-17,2,-6,17
15.265648603439331,101,-15,18,-17,2,-6,17
15.266,101,-15,18,-17,2,-6,17
15.389070749282837,102,-15,18,-16,3,-6,17
15.389,102,-15,18,-16,3,-6,17
15.511621713638306,103,-15,18,-16,3,-6,17
15.512,103,-15,18,-16,3,-6,17
15.632226467132568,104,-14,17,-15,3,-5,16
15.632,104,-14,17,-15,3,-5,16
15.75451374053955,105,-14,17,-15,3,-6,16
15.755,105,-14,17,-15,3,-6,16
15.872699975967407,106,-14,17,-15,3,-5,16
15.873,106,-14,17,-15,3,-5,16
15.995648622512817,107,-12,17,-13,4,-4,16
15.996,107,-12,17,-13,4,-4,16
16.1182804107666,108,-12,16,-13,4,-4,15
16.118,108,-12,16,-13,4,-4,15
16.240689754486084,109,-12,17,-13,4,-4,16
16.241,109,-12,17,-13,4,-4,16
16.36465334892273,110,-12,16,-13,3,-4,15
16.365,110,-12,16,-13,3,-4,15
16.48909330368042,111,-11,15,-13,3,-3,14
16.489,111,-11,15,-13,3,-3,14
16.611761808395386,112,-11,16,-12,3,-3,15
16.612,112,-11,16,-12,3,-3,15
16.734169006347656,113,-11,16,-12,3,-3,15
16.734,113,-11,16,-12,3,-3,15
16.857006072998047,114,-11,16,-12,3,-4,15
16.857,114,-11,16,-12,3,-4,15
16.980233669281006,115,-11,15,-12,3,-3,14
16.980,115,-11,15,-12,3,-3,14
17.103319883346558,116,-11,16,-12,2,-4,15
17.103,116,-11,16,-12,2,-4,15
17.22100520133972,117,-11,15,-11,3,-3,15
17.221,117,-11,15,-11,3,-3,15
17.342920780181885,118,-11,13,-10,0,-6,14
17.343,118,-11,13,-10,0,-6,14
17.466885805130005,119,-10,13,-9,0,-6,14
17.467,119,-10,13,-9,0,-6,14
17.588454484939575,120,-10,13,-9,1,-6,14
17.588,120,-10,13,-9,1,-6,14
17.710004568099976,121,-10,12,-9,0,-6,13
17.710,121,-10,12,-9,0,-6,13
17.834280490875244,122,-11,11,-10,0,-7,11
17.834,122,-11,11,-10,0,-7,11
17.956363677978516,123,-10,11,-10,1,-6,11
17.956,123,-10,11,-10,1,-6,11
18.078553438186646,124,-10,11,-10,1,-7,12
18.079,124,-10,11,-10,1,-7,12
18.202215909957886,125,-10,11,-9,1,-6,12
18.202,125,-10,11,-9,1,-6,12
18.324620485305786,126,-10,10,-10,2,-6,11
18.325,126,-10,10,-10,2,-6,11
18.445987701416016,127,-11,10,-11,1,-6,11
18.446,127,-11,10,-11,1,-6,11
18.570122480392456,128,-10,10,-10,1,-6,10
18.570,128,-10,10,-10,1,-6,10
18.69295573234558,129,-10,10,-11,0,-7,10
18.693,129,-10,10,-11,0,-7,10
18.816734313964844,130,-10,9,-11,0,-6,9
18.817,130,-10,9,-11,0,-6,9
18.94003677368164,131,-11,8,-11,-2,-7,8
18.940,131,-11,8,-11,-2,-7,8
19.063146829605103,132,-11,9,-11,-1,-7,8
19.063,132,-11,9,-11,-1,-7,8
19.184865474700928,133,-11,9,-11,0,-7,8
19.185,133,-11,9,-11,0,-7,8
19.308062076568604,134,-11,8,-12,-1,-7,7
19.308,134,-11,8,-12,-1,-7,7
19.431074857711792,135,-11,7,-12,-1,-7,6
19.431,135,-11,7,-12,-1,-7,6
19.5529203414917,136,-12,8,-12,-1,-8,8
19.553,136,-12,8,-12,-1,-8,8
19.675468921661377,137,-12,6,-12,0,-8,6
19.675,137,-12,6,-12,0,-8,6
19.798872232437134,138,-12,7,-12,0,-8,6
19.799,138,-12,7,-12,0,-8,6
19.9222731590271,139,-11,7,-11,0,-8,7
19.922,139,-11,7,-11,0,-8,7
20.045191049575806,140,-12,7,-12,0,-8,7
20.045,140,-12,7,-12,0,-8,7
20.168484926223755,141,-11,6,-12,0,-8,6
20.168,141,-11,6,-12,0,-8,6
20.29107403755188,142,-12,6,-12,-1,-8,6
20.291,142,-12,6,-12,-1,-8,6
20.41400957107544,143,-11,6,-11,-1,-8,6
20.414,143,-11,6,-11,-1,-8,6
20.53706979751587,144,-11,6,-12,-1,-8,6
20.537,144,-11,6,-12,-1,-8,6
20.66032338142395,145,-11,6,-11,1,-8,6
20.660,145,-11,6,-11,1,-8,6
20.78279948234558,146,-11,6,-11,-1,-8,6
20.783,146,-11,6,-11,-1,-8,6
20.905336141586304,147,-11,5,-12,1,-8,5
20.905,147,-11,5,-12,1,-8,5
21.028268098831177,148,-11,6,-12,1,-8,6
21.028,148,-11,6,-12,1,-8,6
21.150676727294922,149,-11,5,-11,2,-8,5
21.151,149,-11,5,-11,2,-8,5
21.27408218383789,150,-10,6,-10,2,-8,6
21.274,150,-10,6,-10,2,-8,6
21.397160291671753,151,-10,6,-10,2,-8,5
21.397,151,-10,6,-10,2,-8,5
21.516348600387573,152,-9,6,-10,2,-7,5
21.516,152,-9,6,-10,2,-7,5
21.636608123779297,153,-9,7,-9,1,-7,6
21.637,153,-9,7,-9,1,-7,6
21.75984263420105,154,-9,6,-10,2,-7,5
21.760,154,-9,6,-10,2,-7,5
21.88200068473816,155,-9,6,-10,3,-7,5
21.882,155,-9,6,-10,3,-7,5
22.005680799484253,156,-9,5,-10,1,-7,4
22.006,156,-9,5,-10,1,-7,4
22.126426696777344,157,-8,6,-10,2,-7,5
22.126,157,-8,6,-10,2,-7,5
22.26163077354431,158,-8,5,-10,2,-6,4
22.262,158,-8,5,-10,2,-6,4
22.396097660064697,159,-8,5,-11,2,-7,3
22.396,159,-8,5,-11,2,-7,3
22.530231952667236,160,-8,5,-10,1,-6,4
22.530,160,-8,5,-10,1,-6,4
22.66485047340393,161,-9,5,-10,1,-7,3
22.665,161,-9,5,-10,1,-7,3
22.80061411857605,162,-8,5,-10,1,-7,4
22.801,162,-8,5,-10,1,-7,4
22.93663740158081,163,-8,5,-10,1,-6,3
22.937,163,-8,5,-10,1,-6,3
23.068564414978027,164,-8,4,-10,1,-6,2
23.069,164,-8,4,-10,1,-6,2
23.20629382133484,165,-8,4,-10,1,-6,3
23.206,165,-8,4,-10,1,-6,3
23.342094898223877,166,-8,4,-10,1,-6,2
23.342,166,-8,4,-10,1,-6,2
23.478249073028564,167,-8,3,-10,1,-6,2
23.478,167,-8,3,-10,1,-6,2
